ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-10-21,161056.081025244,102139.41840391436,238019.88990295504,161056.081025244,161056.081025244,13105.393408748861,13105.393408748861,13105.393408748861,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,14430.888852238379,14430.888852238379,14430.888852238379,0.0,0.0,0.0,174161.47443399287
2019-10-28,160986.91597762558,109722.3516434414,240804.28741035252,160986.91597762558,160986.91597762558,13559.022564474984,13559.022564474984,13559.022564474984,-1325.4954434895167,-1325.4954434895167,-1325.4954434895167,14884.518007964502,14884.518007964502,14884.518007964502,0.0,0.0,0.0,174545.93854210057
2019-11-04,160917.75093000714,103520.28446053609,239700.335481107,160917.75093000714,160917.75093000714,10613.274078401408,10613.274078401408,10613.274078401408,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,11938.769521890925,11938.769521890925,11938.769521890925,0.0,0.0,0.0,171531.02500840856
2019-11-11,160848.58588238872,99467.74481484144,241189.86080876962,160848.58588238872,160848.58588238872,7934.740527574212,7934.740527574212,7934.740527574212,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,9260.235971063728,9260.235971063728,9260.235971063728,0.0,0.0,0.0,168783.32640996293
2019-11-18,160779.420848226,101290.6152907109,236505.1035576001,160779.420848226,160779.420848226,8103.139126533988,8103.139126533988,8103.139126533988,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,9428.634570023505,9428.634570023505,9428.634570023505,0.0,0.0,0.0,168882.55997476
2019-11-25,160710.25581406325,102726.93023106013,241512.30017809008,160710.25581406325,160710.25581406325,11482.824812507502,11482.824812507502,11482.824812507502,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,12808.32025599702,12808.32025599702,12808.32025599702,0.0,0.0,0.0,172193.08062657074
2019-12-02,160641.09077990052,107662.87042316636,243352.36206189654,160641.09077990052,160641.09077990052,16338.675259302127,16338.675259302127,16338.675259302127,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,17664.17070279164,17664.17070279164,17664.17070279164,0.0,0.0,0.0,176979.76603920266
2019-12-09,160571.9257457378,110391.29756973224,247590.08068401544,160571.9257457378,160571.9257457378,18787.5892760622,18787.5892760622,18787.5892760622,-1325.4954434895167,-1325.4954434895167,-1325.4954434895167,20113.084719551716,20113.084719551716,20113.084719551716,0.0,0.0,0.0,179359.5150218
2019-12-16,160502.76071157507,105525.95963226564,248903.0737682867,160502.76071157507,160502.76071157507,13721.883624112832,13721.883624112832,13721.883624112832,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,15047.37906760235,15047.37906760235,15047.37906760235,0.0,0.0,0.0,174224.64433568792
2019-12-23,160433.59567741235,90736.44387576717,229217.54370200483,160433.59567741235,160433.59567741235,-1189.655544256174,-1189.655544256174,-1189.655544256174,-1325.4954434895167,-1325.4954434895167,-1325.4954434895167,135.8398992333427,135.8398992333427,135.8398992333427,0.0,0.0,0.0,159243.94013315617
2019-12-30,160364.4306432496,70860.02318682316,205286.0022753161,160364.4306432496,160364.4306432496,-20236.346688319696,-20236.346688319696,-20236.346688319696,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-18910.85124483018,-18910.85124483018,-18910.85124483018,0.0,0.0,0.0,140128.0839549299
2020-01-06,160295.26559928645,63596.19248120223,202130.79506555814,160295.26559928645,160295.26559928645,-29473.944584146448,-29473.944584146448,-29473.944584146448,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-28148.449140656932,-28148.449140656932,-28148.449140656932,0.0,0.0,0.0,130821.32101514
2020-01-13,160226.10055532333,78976.32064583442,211385.67577924443,160226.10055532333,160226.10055532333,-15613.530519823233,-15613.530519823233,-15613.530519823233,-1325.4954434895167,-1325.4954434895167,-1325.4954434895167,-14288.035076333717,-14288.035076333717,-14288.035076333717,0.0,0.0,0.0,144612.5700355001
2020-01-20,160156.93551136018,112451.65400591254,247990.19870128666,160156.93551136018,160156.93551136018,21394.430279827786,21394.430279827786,21394.430279827786,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,22719.925723317305,22719.925723317305,22719.925723317305,0.0,0.0,0.0,181551.36579118797
2020-01-27,160087.77046739703,152403.4904357355,293455.2333074023,160087.77046739703,160087.77046739703,64132.23004403834,64132.23004403834,64132.23004403834,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,65457.72548752786,65457.72548752786,65457.72548752786,0.0,0.0,0.0,224220.00051143538
2020-02-03,160018.6054234339,177499.56236715426,308083.517742385,160018.6054234339,160018.6054234339,88482.5782258689,88482.5782258689,88482.5782258689,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,89808.07366935842,89808.07366935842,89808.07366935842,0.0,0.0,0.0,248501.1836493028
